frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
10,2.0,[114.56212127257373 219.80771200753043 841.2614961131158 613.1198081619707],[471.9447937011719 491.50408935546875 658.3624877929688 539.5213012695312],0.8629390597343445,R183JF,0.48264996337198846
11,2.0,[113.97977504692369 215.80729563533154 834.8744441559671 607.103806959116],[457.63372802734375 488.5569152832031 645.4014282226562 534.083251953125],0.8199591040611267,R183JF,0.5540776053549247
12,2.0,[113.8110179619851 214.83405477569394 830.7873647191209 603.9090346766453],[442.5694885253906 482.8644104003906 630.0307006835938 528.7833862304688],0.8656283020973206,R183JF,0.7955730907876758
13,2.0,[107.16403265666884 212.6356216574451 820.3999613997903 600.6156297218445],[427.53033447265625 479.8811950683594 616.9637451171875 526.6292724609375],0.8720133304595947,R183JF,0.5268474855202899
14,2.0,[101.94665970425234 212.3015949317556 810.3518253735494 598.3620049708938],[419.46502685546875 479.994140625 603.8917846679688 524.46826171875],0.8745781183242798,R103JF,0.9396252963075621
15,2.0,[96.78484846671017 211.96873923188073 801.471349341805 596.4203618368612],[404.9271240234375 477.400634765625 589.7943725585938 522.1307983398438],0.8591096997261047,R183JF,0.9666049710677075
16,2.0,[95.72462539319315 199.840525290928 794.6689480529251 592.5805474472886],[389.9344482421875 474.7291259765625 577.1973876953125 519.8305053710938],0.8662233948707581,RIB3JF,0.5408458148992927
17,2.0,[91.41558977529183 203.87025846139156 787.4958239598038 594.8177880530014],[378.7190856933594 475.2308044433594 564.6126098632812 519.4379272460938],0.8406978249549866,R183JF,0.487850658062356
18,2.0,[96.76654616988014 208.5197371785721 780.7114402054219 598.5780919868072],[369.2297668457031 476.23114013671875 557.2177734375 520.1082153320312],0.856080174446106,R103JF,0.5723182893738756
19,2.0,[88.29529797214502 176.7233905236418 772.3560665270928 587.925014975329],[362.18109130859375 478.0688781738281 545.9520874023438 521.6421508789062],0.8587700724601746,R183JF,0.5275226083345752
20,2.0,[93.48534953858092 196.29209545055392 766.0498511846395 601.1684224610461],[355.7257995605469 477.16668701171875 537.9801025390625 523.7900390625],0.8562501072883606,R183JF,0.43855128192819137
21,2.0,[90.70864137005123 209.6627211687833 755.766447949733 607.6345961537427],[345.5465087890625 478.0577087402344 529.6166381835938 524.3162231445312],0.8601006269454956,R183JF,0.6244090293025502
22,2.0,[83.36700193722936 217.4438149897289 746.1174822605444 610.5141876865017],[336.8157653808594 478.2034606933594 523.5942993164062 525.7848510742188],0.8634035587310791,R183JF,0.5169791761755682
23,2.0,[80.6326420299024 218.56070739980137 741.6978112917642 610.8161029811163],[331.80145263671875 479.1019287109375 517.5234985351562 526.5133666992188],0.8661388158798218,R183JF,0.8918264814342042
24,2.0,[74.65841526070909 218.85877966166484 734.5472318493682 612.6109530904198],[322.3008728027344 478.96435546875 510.3844299316406 527.6900634765625],0.8654523491859436,R183JF,0.9958610425590788
25,2.0,[65.20486340399009 219.12823256166308 727.2144486503647 614.3291683567184],[312.9302062988281 479.23468017578125 503.1661071777344 526.8403930664062],0.8693715929985046,R183JF,0.9464742268026273
26,2.0,[60.412313142114954 220.2085179153272 724.7736794331506 614.6525737152215],[309.552734375 479.355224609375 496.716796875 525.2274169921875],0.871968150138855,R183JF,0.9934707892839618
27,2.0,[50.29812888587412 217.16457405994612 718.6616686312792 613.9475056444737],[303.8288269042969 477.321044921875 489.2777099609375 522.289794921875],0.8665387630462646,R183JF,0.9532786048784248
28,2.0,[47.19458595179469 217.11439756102365 719.4765921432157 613.2437299635056],[293.7666320800781 473.0815734863281 481.5353088378906 519.2359619140625],0.8737865686416626,R183JF,0.7363749708310352
29,2.0,[43.78243214025173 216.91511676814724 717.686525475234 610.5109142163435],[285.28094482421875 469.74761962890625 475.241943359375 515.3565673828125],0.841418445110321,R183JF,0.4325154720516954
30,2.0,[39.03677070283538 216.80245749417335 711.4945627202301 607.3693618414043],[285.4755859375 466.0431213378906 471.276123046875 513.0115356445312],0.8562067151069641,R183JF,0.6720751133095235
31,2.0,[36.396489662462386 216.48011703209053 703.971704667849 604.175603323011],[280.5827331542969 464.2437438964844 464.96649169921875 510.1798095703125],0.8598375916481018,R183JF,0.9213026806494279
32,2.0,[37.83847104577842 216.76651720512206 698.6160630705143 600.7663901613439],[281.6124572753906 463.3586120605469 460.9810791015625 507.3817443847656],0.8613904714584351,R183JF,0.786170290908835
33,2.0,[40.75025632868187 216.4073287979731 692.2767609494174 596.6319868775122],[283.195556640625 462.1120300292969 458.5064392089844 504.966552734375],0.8582948446273804,R183JF,0.8598894012350061
34,2.0,[47.36084215044934 218.75421842080456 687.6115006282656 593.4437950056853],[283.1793212890625 459.8126525878906 458.69378662109375 501.9639587402344],0.8557477593421936,R183JF,0.9475092721492433
35,2.0,[50.48251166178943 221.93751357412228 682.689948630329 591.4103620078782],[287.8879089355469 457.818603515625 459.2560119628906 501.1636047363281],0.8626471757888794,R183JF,0.88254619798693
36,2.0,[62.54537946039312 228.0713619695079 681.8298763212681 589.8528354353875],[292.9292297363281 457.17913818359375 463.0582580566406 500.41705322265625],0.8535801768302917,R183JF,0.9747611710877616
37,2.0,[72.52029128791628 232.09031966045717 679.5062673937958 586.0312568714617],[302.364013671875 454.2065124511719 464.921630859375 495.2785339355469],0.8243303298950195,R183JF,0.7481821509326309
38,2.0,[85.43482007102784 234.3414859552541 678.3402002551034 581.3515373628727],[308.1402893066406 452.5812072753906 465.17486572265625 491.4658508300781],0.8364045023918152,R183JF,0.5472118526916292
39,2.0,[95.96299986967762 237.06933523728787 676.4392422057797 576.7422185172688],[310.17449951171875 450.0077819824219 466.2871398925781 487.7286682128906],0.8350067138671875,R183JF,0.9834728897804049
